"Subject"	"Stimuli"	"Trustworthy"	"Face_trust"	"RT"
13712	10	0.5	3.510869565	6.41106690972128
13712	33	-0.5	3.739130435	4.00386417114623
13712	23	-0.5	3.436170213	5.02936366631593
13712	9	0.5	4.010869565	5.12914662298203
13712	58	-0.5	3.258064516	6.74622032110233
13712	14	-0.5	3.321428571	4.72180338839576
13712	5	0.5	3.776595745	3.20322270245674
13712	30	0.5	3.780487805	6.32102807690694
13712	34	-0.5	3.174418605	1.68023143267351
13712	41	-0.5	3.896551724	1.92535344301928
13712	39	0.5	3.75	1.08773108851142
13712	12	-0.5	3.056818182	4.59310975003382
13712	46	0.5	3.541666667	0.757552014489647
13712	35	0.5	3.090909091	1.41383117758642
13712	31	-0.5	3.29787234	4.15006495728676
13712	45	-0.5	3.346153846	2.44676174389178
13712	63	0.5	3	1.81307483482897
13712	38	0.5	3.390804598	2.55147763229206
13712	13	-0.5	4.163043478	4.10848096916061
13712	44	0.5	3.125	1.40087864860516
13712	28	-0.5	3.068181818	1.06669172237844
13712	61	0.5	3.592592593	2.88475717370193
13712	40	-0.5	3.563218391	1.91690174091173
13712	59	-0.5	3.259259259	1.5029152037564
13712	16	0.5	3.359550562	0.909212326985653
13712	27	-0.5	3.540229885	0.865600171001461
13712	42	0.5	3.582417582	1.24515173746113
13712	1	0.5	3.302083333	0.744569050604241
13712	37	-0.5	3.071428571	1.14643294075813
13712	32	0.5	3.488636364	1.93548826610549
13712	22	-0.5	3.313953488	0.960392157278875
13712	56	0.5	3.333333333	0.847462029802955
13712	7	-0.5	3.88172043	0.849405970832777
13712	50	-0.5	3.392857143	1.06091050616442
13712	17	0.5	3.95505618	0.710908400493281
13712	60	-0.5	3.266666667	2.47070127327606
13712	21	0.5	3.731707317	1.96564748666106
13712	20	0.5	3.80952381	1.15623085653351
13712	51	-0.5	4.214285714	1.01617650545722
13712	62	0.5	2.825581395	1.16266890044699
13712	19	-0.5	3.315217391	1.20522114319874
13712	4	0.5	3.578313253	0.953049559702777
13712	55	-0.5	3.083333333	0.767023285886808
13712	24	0.5	2.806451613	1.25053729992169
13712	54	-0.5	3.703703704	1.3922022236593
13712	57	0.5	2.896551724	0.988850208249005
13712	53	0.5	3.15	1.12907902918323
13712	3	-0.5	4.054945055	0.810259960087933
13712	43	-0.5	3	0.982862671696239
13712	52	0.5	3.4	2.80925808551046
13712	8	-0.5	3.430232558	0.847173959895827
13712	15	-0.5	3.494505495	0.963151824519173
13712	64	0.5	2.827586207	1.52826995618443
13712	2	0.5	3.215053763	2.24421037879756
13712	25	-0.5	3.387096774	1.70525317062675
13712	49	0.5	3.285714286	3.5059824050868
13712	18	0.5	3.209302326	1.42302711926914
13712	47	-0.5	3.269230769	0.873694439932024
13712	26	-0.5	3.081395349	4.68197860850933
13712	11	0.5	3.112359551	0.952848547777194
14072	17	0.5	3.95505618	4.4119946791252
14072	21	-0.5	3.731707317	1.4291822432715
14072	24	0.5	2.806451613	1.2206848672904
14072	33	-0.5	3.739130435	1.30507396651228
14072	50	0.5	3.392857143	2.01430001628978
14072	1	-0.5	3.302083333	1.69979235611027
14072	32	0.5	3.488636364	2.3921152264702
14072	42	0.5	3.582417582	1.04842982550326
14072	59	-0.5	3.259259259	1.1577126860102
14072	2	0.5	3.215053763	0.946342329028994
14072	26	-0.5	3.081395349	1.02666230985415
14072	31	-0.5	3.29787234	1.28417615829676
14072	53	0.5	3.15	0.99953220532916
14072	63	-0.5	3	0.677846396491077
14072	61	0.5	3.592592593	0.863501951294893
14072	16	-0.5	3.359550562	1.93981472285304
14072	57	0.5	2.896551724	0.672162343624223
14072	49	0.5	3.285714286	0.937504552144674
14072	52	-0.5	3.4	0.66577146724012
14072	11	0.5	3.112359551	0.853106845232105
14072	20	0.5	3.80952381	0.746529446896602
14072	7	-0.5	3.88172043	2.25181158700434
14072	29	-0.5	3.370786517	1.19102741349707
14072	55	0.5	3.083333333	0.705646576323488
14072	37	-0.5	3.071428571	1.38499633842366
14072	3	0.5	4.054945055	1.08031302846211
14072	45	-0.5	3.346153846	1.61269282873764
14072	23	0.5	3.436170213	1.72194953512007
14072	43	0.5	3	1.10020539264951
14072	28	-0.5	3.068181818	1.13964283396854
14072	27	-0.5	3.540229885	1.62089760958042
14072	6	0.5	3.56043956	0.778174614210002
14072	36	-0.5	3.701149425	0.644598213042627
14072	9	-0.5	4.010869565	0.87817871941661
14072	47	0.5	3.269230769	1.06449309332311
14072	54	0.5	3.703703704	0.828142567130271
14072	56	-0.5	3.333333333	0.872186776206945
14072	41	0.5	3.896551724	0.403565105232701
14072	46	-0.5	3.541666667	2.3608160219519
14072	13	0.5	4.163043478	0.590393622896954
14072	10	0.5	3.510869565	0.701767489164922
14072	5	-0.5	3.776595745	1.11215981428541
14072	58	0.5	3.258064516	0.435522797790327
14072	15	-0.5	3.494505495	1.18977996104149
14072	51	-0.5	4.214285714	0.459197578195017
14072	60	0.5	3.266666667	0.649583387959865
14072	35	0.5	3.090909091	0.490884128619655
14072	22	-0.5	3.313953488	0.502283023390191
14072	25	0.5	3.387096774	0.84961311758525
14072	38	-0.5	3.390804598	0.398117101620301
14072	48	0.5	3.130434783	0.398403803803376
14072	12	-0.5	3.056818182	0.401875350100454
14072	18	0.5	3.209302326	0.393198470745119
14072	14	-0.5	3.321428571	0.795537642738054
14072	39	-0.5	3.75	0.592857407707925
14072	34	0.5	3.174418605	0.577178837273095
14072	8	-0.5	3.430232558	0.537608638936945
14072	62	0.5	2.825581395	1.09496562884306
14072	64	-0.5	2.827586207	0.430281709723204
14072	30	-0.5	3.780487805	0.369600497389911
14149	1	-0.5	3.302083333	6.46523951219569
14149	50	0.5	3.392857143	6.89117136050481
14149	56	-0.5	3.333333333	2.86263224386494
14149	23	0.5	3.436170213	3.81594845452491
